country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,12.1,3.6,1018.0,90,13,0.0,5,28,Despejado
Mexico,12.4,3.6,1025.0,50,25,0.0,4,29,Nublado
Mexico,13.1,6.1,1024.0,58,0,0.0,4,30,Despejado
Mexico,10.2,5.8,1026.0,62,0,0.0,4,31,Despejado
Mexico,11.4,6.1,1027.0,76,100,0.0,4,32,Nublado
Mexico,12.1,3.6,1027.0,82,75,0.0,4,33,Nublado
Mexico,12.2,3.6,1027.0,82,50,0.0,4,34,Nublado
Mexico,12.3,4.0,1026.0,58,0,0.0,4,35,Despejado
Mexico,10.1,4.0,1027.0,82,0,0.0,4,36,Despejado
Mexico,11.2,3.6,1026.0,66,0,0.0,4,37,Despejado
Mexico,9.4,6.1,1027.0,50,0,0.0,4,38,Despejado
Mexico,10.3,5.8,1027.0,62,0,0.0,4,39,Despejado
Mexico,11.1,3.6,1027.0,50,0,0.0,4,40,Despejado
Mexico,11.2,3.6,1028.0,43,0,0.0,4,41,Despejado
Mexico,13.1,3.6,1025.0,47,75,0.0,4,42,Nublado
Mexico,15.4,5.8,1022.0,51,0,0.0,4,43,Despejado
Mexico,14.1,4.0,1025.0,41,0,0.0,4,44,Despejado
Mexico,13.3,5.4,1030.0,72,75,0.0,4,45,Nublado
Mexico,15.1,4.7,1027.0,55,75,0.0,4,46,Nublado
Mexico,14.3,10.8,1025.0,59,75,0.0,4,47,Nublado
Mexico,12.3,5.4,1027.0,71,75,0.0,4,48,Nublado
Mexico,14.1,3.6,1026.0,59,100,0.0,4,49,Nublado
Mexico,14.3,9.7,1027.0,59,75,0.0,4,50,Nublado
Mexico,11.3,4.0,1026.0,82,50,0.0,4,51,Nublado
Mexico,13.2,3.6,1027.0,82,100,0.0,4,52,Nublado
Mexico,13.0,5.0,1031.0,77,75,0.0,4,53,Nublado
Mexico,10.4,3.6,1028.0,87,0,0.0,4,54,Despejado
Mexico,11.2,4.3,1026.0,66,25,0.0,4,55,Nublado
Mexico,8.1,5.4,1026.0,57,0,0.0,4,56,Despejado
Mexico,10.4,3.6,1025.0,29,0,0.0,4,57,Despejado
Mexico,17.2,4.7,1025.0,52,0,0.0,3,58,Despejado
Mexico,12.1,7.2,1026.0,71,75,0.0,4,59,Nublado
Mexico,16.2,5.4,1025.0,59,0,0.0,3,60,Despejado
Mexico,16.3,3.6,1026.0,45,0,0.0,3,61,Despejado
Mexico,16.4,5.4,1026.0,59,25,0.0,3,62,Nublado
